deceptive,hotel,polarity,source,text
truthful,hilton,positive,TripAdvisor,"went to chicago for a week in may, decided to be good to ourselves and stay in the hilton, we were not disapointed. perhaps it was becuse there were quite a few conventions going on and a lot of people were only staying 1 or 2 nights but we got upgraged to exceutive level. we had 2 double beds with a bathroom each. they beds and pillows were too die for, so so comfy ant the end of a day when we seemed to have walked for miles. all the staff were very helpful. a lot of guests seemed to ignore the staff especially the chamber maids who they seemed to think they were in their way so perhaps that why some people felt these people were rude or unhelpful. about 2 blocks away on Harrison is a cafe called 'Orange' which you have to make the only place you will have breakfast, the cafe and the staff are suberb. expect a 15 min wait on a sat & sun morning. 
"
truthful,hilton,positive,TripAdvisor,"I stayed here for a conference and got the conference rate of $149. I was worried that I wouldn't get a nice room, since it was the weekend before the election and the hotel is across the street from Grant Park, so it could easily have gotten a lot more for the nicer rooms. I requested a quiet room away from elevators and foot traffic, and that is exactly what I was assigned (perhaps because I am also a 'silver' member?). It was a beautiful room with windows on two sides, a king sized bed. The room was quiet, comfortable and immaculate. The maid even left a thank you note for the tip I had left. All the staff were helpful, polite and cheerful. I appreciated the fact that I could actually purchase a breakfast for under $15 (oatmeal, coffee, and juice)--something not possible at a lot of big hotels, like the Hyatt I stayed at last year. 
"
truthful,hilton,positive,TripAdvisor,"Stayed at the Chicago Hilton for three nights and from the minute we walked through the door I was very impressed. Check-in was quick, easy and I was very glad that we were able to check in despite being earlier than the advertised check-in time. We were given a twin room with two bathrooms which was brilliant. It made getting ready to go out much quicker! The hotel location is great opposite the park, which is a must see. Although located on South Michigan Ave it is easily within walking distance of all the shops and sights of the whole of Michigan Ave. Would also recommend the street one block back from Michigan Ave for good shopping. For breakfast I would recommend grabbing a muffin, croissant or bagel from the bar just past reception rather than going for the more expensive breakfast in the restaurant. For evening entertainment Kitty O'Sheas is a must. Typical Irish bar with good drinks and live music. Finally the bed at Hilton Chicago is the most comfortable bed ever. I would have taken it home if I could! Definately made for a good nights sleep. 
"
truthful,hilton,positive,TripAdvisor,"This is a stunning hotel in an excellent location in the greatest of US cities. The entrance and lobby of the hotel indicates its class. The bedrooms are large and comfortable and the customer service is second to none. It is located on South Michigan directly across the road from Grant and Millenium Park. It also has a free shuttle to the Water Tower in the heart of the Magnificent Mile. For Blues fans, Buddy Guy's Legends Club is situated immediately behind the Hotel. Highly recommended. 
"
truthful,hilton,positive,TripAdvisor,"We had a great experience at this hotel. The hotel is Huge! The rooms were very clean, well appointed, and our room was very roomy with a great view of the snow covered park. The Staff was so nice and very helpfull. Donald, at the the Concierge desk scored us tickets to WICKED the day of the performance, and on a Holiday weekend too. They were great seats and a reasonable price. He worked very hard for us to see that show. They truely topped off what was a Fun New Years Celebration. This will be my first pick when I return in the spring. 
"
truthful,hilton,positive,TripAdvisor,"I only stayed out with my boyfriend for one night, however enjoyed my stay. The staff was friendly, the room was nice and clean, the hallways and ballrooms etc were elegant. Room service was quick and had good options to choose from that actually tasted great. The staff was able to extend our check out time for an extra 1-2 hours without an extra charge to the room. Great location too! Walking distance from the Art Museum, Millennium Park, Grant Park (right across the street) and a quick cab ride to McCormick Place. If I were in the city again I would love to stay there again. 
"
truthful,hilton,positive,TripAdvisor,"We had our hotel reservations at another hotel set and after we were reading all of the negative reviews we cancelled and made out reservation at the Hilton - I am so glad we did the hotel was clean, hotel staff was pleasant and helpful and the beds were amazing. We knew we were paying a little more than some other hotels but it was well worth every penny. 
"
truthful,hilton,positive,TripAdvisor,"Great place, great room, great location. Even though there was a big meeting going on (Rainbow Girls in all their enormous gowns) the only consequence for us was slow elevators. Ballroom is amazing, shops on ground floor a nice throwback. Lake views from upper floors -- we were on 17 I think -- are worth it. Concierge advice about restaurants etc was excellent. Definitly would return. 
"
truthful,hilton,positive,TripAdvisor,"Staying at this hotel was one of the high points of a last minute, budget Valentines weekend trip for my husband and me. We got a great rate -- $70 -- on Priceline. Close to the subway (red line) and we got from O'Hare to the hotel in less than an hour for $3.50 for both of us. We were able to check in more than 4 hours early. Room was great -- very clean, good closet space and fantastic bedding. Had one expensive drink at the Irish bar, but the bartender's advice on restaurants and clubs to check out made it worth the price. Concierge was helpful, too. Overall, service was terrific, room was great and staying there was a treat. I would stay there again any time, especially at that price. 
"
truthful,hilton,positive,TripAdvisor,"We loved the hotel. When I see other posts about it being shabby I can't for the life of me figure out what they are talking about. Rooms were large with TWO bathrooms, lobby was fabulous, pool was large with two hot tubs and huge gym, staff was courteous. For us, the location was great--across the street from Grant Park with a great view of Buckingham Fountain and close to all the museums and theatres. I'm sure others would rather be north of the river closer to the Magnificent Mile but we enjoyed the quieter and more scenic location. Got it for $105 on Hotwire. What a bargain for such a nice hotel. 
"
