deceptive,hotel,polarity,source,text
truthful,conrad,positive,TripAdvisor,stayed one night getaway family thursday triple rate steal floor room complete plasma bose stereo voss evian water gorgeous bathroomno tub fine concierge helpful cannot beat location flaw breakfast pricey service slow hours four kids four adults friday morning even though two tables restaurant food good worth wait would return heartbeat gem chicago
truthful,hyatt,positive,TripAdvisor,triple rate upgrade view room less also included breakfast vouchers great view river lake wrigley bldg tribune bldg major restaurants shopping sightseeing attractions within walking distance large room comfortable bed
truthful,hyatt,positive,TripAdvisor,comes little late finally catching reviews past several months dear friend stayed hyatt regency late october one night visiting friend husband town hotel perfect imo easy check check lovely clean comfortable rooms great views city know area pretty well convenient many downtown chicago attractions dinner went clubing friends around division problems getting cabs back forth hyatt theres even public transportation right near didnt bother since needed cabs hotel parking usual chicago expensive able get car quickly however left sunday morning exactly high traffic time although bears homegame day bit busier usual would think problems best part got rate hotwire downright steal area chicago quality hotel
truthful,omni,positive,TripAdvisor,omni chicago really delivers fronts spaciousness rooms helpful staff prized location michigan avenue address chicago requires high level quality omni delivers check whole group people minutes staff plentiful recommendations dining events rooms largest youll find price range chicago even standard room separate living area work desk fitness center free weights weight machines two rows cardio equipment shared room others feel cramped way great property
truthful,hyatt,positive,TripAdvisor,asked high floor away elevator got room pleasantly decorated functional clean didnt need whole lot service pleasant prompt used fitness center well equipped everything working order great location one end michigan avenue shopping district
truthful,omni,positive,TripAdvisor,stayed omni one night following business meeting another downtown chicago hotel completely impressed service personnel stay absolutely outstanding checked quite early problem efficiently checked room somewhat heavy scent air freshener negative entire stay managed reasonably well opening windows dont generally require much hotel stays suffice say doorman housekeeping night manager bartender day waiter concierge amazing never waited seconds anything room comfy amenities superior one tiny complaint wastebasket near sink near wet bar walk end bathroom sitting room dispose kleenexcoffee paraphernalia one wastebasket would make difference said great hotel thanks omni great stay
truthful,conrad,positive,TripAdvisor,stayed conrad nights thanksgiving corner room overlooking michigan tribune building say star hotel damn place faint praise wonderful staff unbelievably helpful standard room superb plasma screens luxury bedlinens ipod radio huge bathroom location unbeatable right heart everything watched whole light festival parade window breakfasts excellent help buffet full attentive table service would hesitation recommending staying hotel
truthful,omni,positive,TripAdvisor,got back days chicago shopping girlfriends first time stayed omni saw rate included free food travelzoo three year olds stayed one suite double beds comfortable pull sofa plenty room food restaurant great service outstanding everone came contact early morning delivery free coffee juice hot chocolate fabulous recommendations staff eat time movies shopping areas etc really helpful need mention outstanding location simply best decided omni new favorite hotel
truthful,omni,positive,TripAdvisor,arrived omni september day stay took ill left plane travelling manchester saw room anticipated couldnt days room spacious clean bed extremely comfortable bathroom large clean could ask coffee juice left outside door every morning time requested managed floor see sun terrace outside gym sun terrace city hotel great idea terrace bit grim sunbeds concrete floor also noise air conditioning unit could bit cheering saw chicago pleasing something everyone would back omni yes would
truthful,hyatt,positive,TripAdvisor,visit chicago chose hyatt due location downtown within walking distance major attractions sears tower magnificent mile grantmillenium parks etc subway bus stops close travel locations city overall hotel nice clean great location safe area went beautiful wrigley field soldier field saw teams play love chicago would defenitely stay
truthful,fairmont,positive,TripAdvisor,stayed fairmont chicago one night frequent business traveler familiar travel rituals checked late almost due flight cancellations home airport atlanta took shuttle airport best option lieu priced taxis first time staying hotel upon arrival immediately noticed entrance appeared welcoming warm checked problems desk person even asked prefer king double reconfirming reservation preference always take king bed fantastic suited great linen incredible feather pillows named encompass made pillow factory checked tags since plan buy ate dinner hotel restaurant aria mention like considered separate hotel yes stand food asian fusion truly wonderful gourmand lifelong foodie appreciate great food taste hotel service good well drawback breakfast buffet restaurant seems need stick dinner theme solely missed mark relatively simply things like scrambled eggs buffet tasted bit metallic made getting special order made immediately passed buffet would highly recommend hotel atmosphere great view get room one fabulous dinner pass breakfast buffet
truthful,conrad,positive,TripAdvisor,first trip chicago litlle worried hotel location finally decided conrad wath good experience booked king deluxe room floor view amazing coplaint could room nice bath appliances good size good plasma free internet asked one day breaksfast amazing food overall price aroufn great surprise locating good blocks everything quiet hotel
truthful,hyatt,positive,TripAdvisor,arrived friday room ready mind check got room priceline per night stayed nights upgraded free suite think blown away forgot thank checkin room fantastic also wet bar fridge bathroom quite large nice sized closet many hangers knew previous reviews touch minibar bed pillows comfortable room clean every employee went way friendly helpful stayed floor east tower quiet room yes could hear people hallways rude yelling children adults dont know everyone complains parking chicago every hotel saw charged much without inout privledges didnt use restaurants health club tried eat corner bakery crowded breakfast nearby houlihans buffet per person also grocery store behind hotel great far away dont know many bad reviews hotel yes big hotel dont want busy lobby dont stay plus room hotel loved hotel would recommend anyone one problem wasnt busy would stay heartbeat
truthful,conrad,positive,TripAdvisor,wife came spend weekend downtown chicago shopping found conrad hotel well located close everything downtown size doesnt make feel lost convention world feeling staying larger hotels past suite view michigan avenue bit lake end staff professional pleasant friendly making feel comfortable internet free rooms making review
truthful,hyatt,positive,TripAdvisor,got sunday night stay pricelinecom would hard complainbut truly great hotel even paid double first impression get walk sliding doors hyatt regency chicago wow lobby beautiful upscale mall type look open area restaurant plenty couchesseats etc people watch lake water fountains take escalator conciergedirectorycheck area hotel let check check time suggest call ahead like know coming earlythe women desk friendly requested higher level floor happy look even told room floor veiw river higher view thought pretty nice give information wouldnt get stuck room view wall rooms big doubles room beds beautiful great pillowsblanketsheadboards etc ipod alarm clock nice century touch room great plug ipod listen music get ready night relaxing long day touring chicago view nice bathroom spotless great toiletries another great feature concierge areas computers gives access printing boarding pass get airport simply look screen click airline icon following instructions boarding passes minute came handy got ohare able skip long line frustrated passengers hotel day far one better hotel experiences travel alot business hotel definitely great choice families couples definitely would stay passing chicago
truthful,conrad,positive,TripAdvisor,superb hotel rooms huge including luxurious bathroom clean service first rate breakfast excellent complimentary hilton honors members hotel good location connected mall imagine would great asset chicago winter next time chicago stay sure
truthful,conrad,positive,TripAdvisor,stayed conrad nights friends reunion room clean new feeling nice city view free bottled water room upon arrival check breeze room ready even though several hours early staff friendly helpful excellent breakfast
